"","employees","salaries_2017","salaries_2018","change","got_raise"
"1","Employee 1",43626.3041524217,44951.8505227752,1325.54637035355,TRUE
"2","Employee 2",43344.3782920949,43334.3094319571,-10.0688601378351,FALSE
"3","Employee 3",40122.5421321578,38614.1213343944,-1508.42079776339,FALSE
"4","Employee 4",42152.9236226343,46940.2518647257,4787.32824209146,TRUE
"5","Employee 5",44784.499516245,51836.6110138595,7052.11149761453,TRUE
"6","Employee 6",49361.2283002585,56072.4925901741,6711.26428991556,TRUE
"7","Employee 7",44175.486471504,52804.6315233223,8629.14505181834,TRUE
"8","Employee 8",49437.024097424,58903.2574312296,9466.23333380558,TRUE
"9","Employee 9",48699.3338703178,57732.4987458996,9033.16487558186,TRUE
"10","Employee 10",45455.0110222772,42595.9778553806,-2859.03316689655,FALSE
"11","Employee 11",42049.4826766662,44715.7435514964,2666.26087483019,TRUE
"12","Employee 12",46942.2474689782,47921.1210343055,978.873565327376,TRUE
"13","Employee 13",49255.7983845472,51730.2493588068,2474.45097425953,TRUE
"14","Employee 14",48339.3553248607,51816.5731336921,3477.21780883148,TRUE
"15","Employee 15",49234.8601180129,48260.853048414,-974.007069598883,FALSE
"16","Employee 16",41163.6147624813,42029.1316509247,865.516888443381,TRUE
"17","Employee 17",40571.2672253139,37391.8298899662,-3179.43733534776,FALSE
"18","Employee 18",45584.3264516443,49746.8222642783,4162.49581263401,TRUE
"19","Employee 19",48650.1694982871,57802.065621363,9151.89612307586,TRUE
"20","Employee 20",46321.453792043,43521.3069524616,-2800.14683958143,FALSE
"21","Employee 21",40498.4228452668,47086.988230003,6588.56538473628,TRUE
"22","Employee 22",40355.4953192361,40619.1167724319,263.62145319581,TRUE
"23","Employee 23",47188.9136661775,43239.782549208,-3949.13111696951,FALSE
"24","Employee 24",43334.3719714321,41497.3308052868,-1837.04116614535,FALSE
"25","Employee 25",48508.4166959859,58304.9339230638,9796.51722707786,TRUE
"26","Employee 26",41078.3786792308,50468.2243836578,9389.84570442699,TRUE
"27","Employee 27",49443.3643622324,56016.2999213208,6572.93555908836,TRUE
"28","Employee 28",41222.9113210924,37401.4642392285,-3821.44708186388,FALSE
"29","Employee 29",46913.4502625093,52564.4786132034,5651.02835069411,TRUE
"30","Employee 30",46567.6349005662,55073.1255102437,8505.49060967751,TRUE
"31","Employee 31",45724.1603150032,54859.4411415979,9135.28082659468,TRUE
"32","Employee 32",40817.2203600407,38248.4685024247,-2568.75185761601,FALSE
"33","Employee 33",44319.0279882401,43336.5597680677,-982.46822017245,FALSE
"34","Employee 34",40313.5565621778,42053.4661156125,1739.9095534347,TRUE
"35","Employee 35",40607.7421200462,36847.1411417704,-3760.60097827576,FALSE
"36","Employee 36",47140.2164874598,46727.0603391808,-413.156148279086,FALSE
"37","Employee 37",44345.3879700974,51329.0079473518,6983.61997725442,TRUE
"38","Employee 38",49914.7178279236,52556.8396528251,2642.12182490155,TRUE
"39","Employee 39",46499.2263028398,54930.458056042,8431.23175320216,TRUE
"40","Employee 40",42605.8440795168,51474.8261775821,8868.98209806532,TRUE
"41","Employee 41",47953.4535761923,45594.7296926752,-2358.72388351709,FALSE
"42","Employee 42",42395.6832266413,46926.2532598805,4530.5700332392,TRUE
"43","Employee 43",49167.9850663058,44236.7921373807,-4931.19292892516,FALSE
"44","Employee 44",43695.5815600231,51405.6988840457,7710.11732402258,TRUE
"45","Employee 45",47923.3961598948,50815.5976014677,2892.20144157298,TRUE
"46","Employee 46",44929.246797692,47155.5429894943,2226.29619180225,TRUE
"47","Employee 47",48987.4114445411,47624.1322373971,-1363.27920714393,FALSE
"48","Employee 48",49569.8251388967,58878.7784613669,9308.95332247019,TRUE
"49","Employee 49",42330.0924710929,50554.2699818034,8224.17751071043,TRUE
"50","Employee 50",43759.251406882,53233.6273964029,9474.37598952092,TRUE
"51","Employee 51",40327.3396496661,41538.5328989942,1211.19324932806,TRUE
"52","Employee 52",40381.5997974016,49379.8457970843,8998.24599968269,TRUE
"53","Employee 53",46471.0620092228,42873.6017039046,-3597.46030531824,FALSE
"54","Employee 54",42803.5725723021,48695.1959168073,5891.62334450521,TRUE
"55","Employee 55",47833.960307762,47064.390887972,-769.569419790059,FALSE
"56","Employee 56",43989.5773841999,51959.3574071769,7969.78002297692,TRUE
"57","Employee 57",45665.6832224689,40966.7896269821,-4698.89359548688,FALSE
"58","Employee 58",45396.0556630045,54044.7033988312,8648.64773582667,TRUE
"59","Employee 59",42469.0927332267,48135.346849449,5666.25411622226,TRUE
"60","Employee 60",48823.5082826577,44886.7355799302,-3936.77270272747,FALSE
"61","Employee 61",40846.0651920177,37285.3496554308,-3560.71553658694,FALSE
"62","Employee 62",41882.3950341903,41021.0356023163,-861.359431874007,FALSE
"63","Employee 63",43237.4020782299,44988.8870608993,1751.48498266935,TRUE
"64","Employee 64",40523.4954808839,44435.5917186476,3912.09623776376,TRUE
